Pest Name,Pest Control Advice,Chemical Pesticides
beetle,"1) Cow dung extract (1kg mixed with 10L water, spray filtrate).2) Neem Kernel extract (500-2000 ml per tank).3) Andrographis paniculata decoction (3-5%).",• Carbaryl (Sevin) • Bifenthrin • Permethrin • Imidacloprid
grasshopper,1) Bird perches (T-shaped twigs in fields).2) Neem Kernel extract (500-2000 ml per tank).3) Garlic-Chilli-Ginger extract (500 ml per 10L water).,• Malathion • Carbaryl • Diflubenzuron • Chlorpyrifos
earthworms,1) Beneficial for soil health.2) No control needed.3) Helps in natural decomposition.,• Not recommended
ants,1) Light traps for monitoring.2) Neem-based repellents around plants.3) Removing wild grasses (prevents egg-laying).,• Fipronil • Hydramethylnon • Bifenthrin • Imidacloprid
earwig,1) Handpicking method (collect at night).2) Apply neem oil spray on affected areas.3) Keep field dry to prevent earwig infestations.,• Carbaryl • Bifenthrin • Permethrin • Cyfluthrin
snail,1) Handpicking snails during evening hours.2) Use of neem leaf extract as a repellent.3) Maintain field hygiene and avoid excess moisture.,• Metaldehyde baits • Iron phosphate baits • Methiocarb
catterpillar,"1) Neem Kernel extract (3-5 kg per acre, soaked overnight).2) Garlic-Chilli-Ginger extract (500-1000 ml per 10L water).3) Andrographis paniculata decoction (3-5%).",• Bacillus thuringiensis (Bt) • Spinosad • Permethrin • Carbaryl • Chlorantraniliprole
weevil,1) Neem seed kernel extract (500-2000 ml per tank).2) Store grains in airtight containers to prevent infestations.3) Use light traps for adult weevils.,• Imidacloprid • Bifenthrin • Cypermethrin • Phosphine (storage)
bees,"1) Bees are beneficial pollinators and should not be removed.2) If necessary, use natural bee relocation techniques.3) Avoid chemical pesticides that harm bees.",• Not recommended
moth,1) Light traps for adult moths.2) Use neem kernel extract spray on plants.3) Maintain crop hygiene and remove infected leaves.,• Spinosad • Permethrin • Cypermethrin • Methoxyfenozide
wasp,"1) Generally beneficial as they prey on pests.2) Avoid using chemical pesticides that may kill wasps.3) If wasp nests are an issue, relocate them safely.",• Cypermethrin • Permethrin • Carbaryl
slug,1) Handpicking slugs at night.2) Use crushed eggshells or sand barriers around plants.3) Apply neem oil spray to repel slugs.,• Metaldehyde baits • Iron phosphate baits • Methiocarb
